,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All_NBA
67,235.0,25.0,3483.0,71.8,2.97,2.548,0.9560000000000001,23.5,104.6,63.2,58.5,11.0,15.599999999999998,72.8,121.8,0.6999999999999997,3.1000000000000005,4.0,0.36200000000000004,-11.4,-0.20000000000000007,-11.5,-0.3,481.0,1185.0,2.386,148.0,430.0,2.032,333.0,755.0,2.5909999999999997,2.8329999999999997,179.0,232.0,4.1530000000000005,125.0,508.0,633.0,180.0,103.0,106.0,173.0,403.0,1289.0,0
68,312.0,68.0,7066.0,50.6,2.469,1.494,1.3290000000000002,8.5,42.1,25.4,71.0,7.499999999999999,2.6999999999999997,59.4,96.8,0.8999999999999999,3.8,4.699999999999999,0.153,-8.1,-7.7,-15.700000000000001,-2.0,1003.0,2385.0,2.084,262.0,750.0,1.7049999999999998,741.0,1635.0,2.2640000000000002,2.34,412.0,643.0,3.1359999999999997,99.0,514.0,613.0,658.0,197.0,44.0,362.0,661.0,2680.0,0
69,413.0,340.0,11619.0,74.10000000000001,3.479,1.8190000000000002,0.952,19.700000000000003,66.1,43.1,72.00000000000001,14.399999999999999,3.8000000000000003,83.60000000000001,148.7,2.4,12.099999999999998,14.499999999999998,0.22299999999999998,-15.6,-2.4999999999999996,-18.2,1.7999999999999998,2025.0,4578.0,3.02,520.0,1421.0,2.222,1505.0,3157.0,3.244,3.34,438.0,567.0,5.155,275.0,989.0,1264.0,702.0,446.0,87.0,565.0,885.0,5008.0,0
70,647.0,479.0,19041.0,142.59999999999997,5.039999999999999,0.21500000000000002,2.789,15.6,54.699999999999996,35.49999999999999,332.50000000000006,17.900000000000002,4.0,160.3,178.89999999999998,26.500000000000004,17.0,43.4,0.9550000000000001,-7.6,-18.999999999999996,-26.4,1.0000000000000002,2617.0,5449.0,4.669,20.0,129.0,1.076,2597.0,5320.0,4.744,4.684,1049.0,1494.0,6.991,251.0,949.0,1200.0,4093.0,649.0,112.0,1172.0,1101.0,6303.0,0
71,312.0,182.0,7392.0,84.5,3.394,1.36,1.476,6.000000000000001,51.0,28.700000000000003,146.5,7.7,0.7000000000000001,83.69999999999999,104.69999999999999,15.300000000000002,4.3,19.499999999999996,0.647,1.2000000000000002,-16.6,-15.4,1.3999999999999995,1109.0,2371.0,2.833,259.0,621.0,2.641,850.0,1750.0,2.9059999999999997,3.127,576.0,669.0,5.224,69.0,507.0,576.0,1020.0,212.0,17.0,369.0,480.0,3053.0,0
72,764.0,638.0,26335.0,227.00000000000003,6.4879999999999995,4.696999999999999,3.449,37.7,125.7,80.80000000000001,483.29999999999995,36.0,11.4,205.1,321.29999999999995,29.900000000000002,28.400000000000002,58.4,1.276,36.800000000000004,-5.9,30.7,32.0,4494.0,10987.0,5.2620000000000005,1213.0,3790.0,4.131,3281.0,7197.0,5.835,6.021,2149.0,3041.0,9.274999999999999,717.0,2238.0,2955.0,5493.0,1418.0,328.0,2108.0,2173.0,12350.0,1
73,744.0,269.0,20366.0,150.6,5.866,3.5090000000000003,2.764,18.9,96.69999999999999,57.099999999999994,173.0,14.600000000000001,4.8999999999999995,150.7,278.8,19.200000000000006,14.000000000000002,33.400000000000006,0.631,1.9000000000000004,-25.599999999999998,-23.5,4.700000000000001,3931.0,9092.0,4.663,1171.0,2921.0,4.249,2760.0,6171.0,4.856,5.341999999999999,2051.0,2394.0,9.346,333.0,1518.0,1851.0,1868.0,508.0,114.0,1551.0,1720.0,11084.0,0
74,293.0,216.0,7476.0,36.5,2.106,1.721,0.852,8.6,37.400000000000006,23.199999999999996,29.0,5.4,2.4,53.199999999999996,71.8,1.0999999999999996,2.9000000000000004,3.9999999999999996,0.086,-5.5,-6.5,-12.0,-1.0,993.0,2384.0,1.6720000000000002,367.0,1043.0,1.4220000000000002,626.0,1341.0,1.8619999999999999,1.976,389.0,499.0,3.088,137.0,617.0,754.0,352.0,203.0,53.0,395.0,668.0,2742.0,0
75,1038.0,862.0,30458.0,230.8,7.503,0.142,8.055,197.4,394.2,294.7,94.60000000000001,36.2,77.29999999999998,247.39999999999995,171.9,22.999999999999996,68.10000000000001,91.10000000000001,1.959,-36.10000000000001,77.69999999999999,41.49999999999999,45.900000000000006,2468.0,5150.0,7.574000000000002,7.0,47.0,3.2651117150456965,2461.0,5103.0,7.609000000000001,7.588000000000001,1056.0,2554.0,6.371,3269.0,6772.0,10041.0,1345.0,1300.0,2057.0,1012.0,1992.0,5999.0,5
76,725.0,255.0,16291.0,185.0,7.001,2.917,2.719,24.200000000000003,105.5,64.7,343.3999999999999,20.1,5.1000000000000005,207.1,260.7,18.400000000000002,10.899999999999999,29.300000000000004,1.1059999999999999,-4.2,-25.500000000000004,-29.6,3.0,2493.0,5372.0,5.978,424.0,1212.0,5.1290000000000004,2069.0,4160.0,6.290999999999999,6.518999999999999,948.0,1135.0,10.98,275.0,1239.0,1514.0,2520.0,527.0,66.0,1043.0,1150.0,6358.0,0
