,MP,G,PTS,AST,TwoPA,FGA,WS,All_NBA
771,5205.0,295.0,1720.0,212.0,766.0,1552.0,6.8999999999999995,0
772,4154.0,253.0,1199.0,125.0,900.0,906.0,8.200000000000001,0
773,4754.0,291.0,1700.0,793.0,1038.0,1573.0,6.300000000000001,0
774,10409.0,402.0,3854.0,1891.0,2695.0,3107.0,17.0,0
775,6852.0,260.0,2411.0,772.0,1250.0,2060.0,7.799999999999999,0
776,5847.0,249.0,1585.0,394.0,784.0,1359.0,8.7,0
777,2996.0,271.0,833.0,97.0,628.0,637.0,4.9,0
778,8183.0,318.0,2988.0,1353.0,2434.0,2643.0,14.0,0
779,13249.0,596.0,4990.0,1033.0,3791.0,4559.0,18.900000000000002,0
780,14144.0,744.0,4573.0,988.0,3789.0,3851.0,26.700000000000003,0
781,3340.0,263.0,1390.0,136.0,1298.0,1311.0,6.000000000000001,0
782,19897.0,574.0,13088.0,3916.0,5266.0,9645.0,84.29999999999998,4
783,2778.0,223.0,925.0,113.0,643.0,810.0,1.6,0
784,25200.0,786.0,12032.0,2401.0,6800.0,10277.0,34.599999999999994,0
785,29815.0,794.0,15270.0,6023.0,9523.0,12414.0,72.7,1
786,18236.0,758.0,5032.0,3057.0,2186.0,4541.0,25.700000000000003,0
787,20973.0,552.0,10188.0,3390.0,6406.0,8077.0,53.400000000000006,0
788,10117.0,567.0,3430.0,865.0,1474.0,2626.0,33.20000000000001,0
789,38069.0,1217.0,17387.0,10335.0,8953.0,12892.0,130.0,7
790,5352.0,428.0,2062.0,124.0,357.0,1631.0,13.9,0
791,19946.0,664.0,9302.0,1702.0,4860.0,7130.0,62.89999999999999,0
792,7371.0,311.0,2343.0,257.0,1662.0,1665.0,19.9,0
793,5993.0,400.0,1817.0,79.0,1312.0,1313.0,10.599999999999998,0
794,10445.0,520.0,4454.0,270.0,3493.0,3520.0,20.899999999999995,0
795,11882.0,429.0,4797.0,2495.0,3784.0,4223.0,16.9,0
796,14170.0,562.0,5280.0,564.0,4374.0,4408.0,36.9,0
797,4410.0,217.0,1696.0,238.0,1519.0,1593.0,3.2,0
798,29203.0,931.0,10589.0,2246.0,7953.0,9403.0,59.30000000000001,0
799,16265.0,472.0,7855.0,3408.0,5757.0,6742.0,57.3,0
800,5551.0,229.0,2429.0,237.0,1649.0,1960.0,14.8,0
801,8444.0,363.0,3432.0,319.0,1477.0,3066.0,14.0,0
802,5816.0,304.0,2407.0,292.0,2171.0,2184.0,11.2,0
803,3592.0,204.0,759.0,78.0,591.0,594.0,6.2,0
804,6275.0,316.0,2819.0,930.0,1440.0,2216.0,7.7,0
805,8933.0,380.0,3538.0,486.0,1795.0,3046.0,18.1,0
806,12146.0,551.0,4568.0,1974.0,2027.0,3495.0,32.8,0
807,16476.0,697.0,4206.0,1046.0,2400.0,3603.0,33.5,0
808,20989.0,691.0,9380.0,999.0,7170.0,8015.0,45.800000000000004,0
809,17860.0,696.0,5132.0,383.0,3889.0,3891.0,43.69999999999999,0
810,3004.0,230.0,1166.0,145.0,1021.0,1027.0,4.2,0
811,6812.0,355.0,2816.0,423.0,1918.0,1932.0,25.2,0
812,47368.0,1392.0,26496.0,4225.0,20166.0,20334.0,206.29999999999998,14
813,22618.0,734.0,10862.0,3972.0,5177.0,9261.0,60.19999999999999,3
814,19299.0,734.0,8571.0,1143.0,4758.0,7149.0,32.3,0
815,6467.0,354.0,2507.0,208.0,1830.0,1864.0,15.200000000000001,0
816,9142.0,307.0,4500.0,496.0,2765.0,3642.0,21.9,0
817,7985.0,328.0,3895.0,453.0,1984.0,3273.0,12.9,0
818,2500.0,225.0,835.0,46.0,748.0,752.0,2.2,0
819,3439.0,223.0,1369.0,121.0,1049.0,1049.0,12.0,0
820,15102.0,483.0,6401.0,1264.0,5130.0,5400.0,32.3,0
821,6017.0,391.0,1940.0,190.0,1454.0,1458.0,9.9,0
822,6333.0,321.0,2522.0,777.0,1232.0,2267.0,10.600000000000001,0
823,18509.0,691.0,8212.0,2633.0,4833.0,6731.0,51.900000000000006,0
824,17782.0,798.0,6551.0,1068.0,4924.0,5356.0,38.8,0
825,17148.0,814.0,4946.0,501.0,4197.0,4270.0,35.699999999999996,0
826,11091.0,519.0,4785.0,970.0,3108.0,4416.0,18.9,0
827,11381.0,606.0,3884.0,244.0,3192.0,3203.0,14.399999999999999,0
828,36205.0,1143.0,18522.0,6634.0,13464.0,14979.0,108.89999999999999,4
829,6280.0,293.0,1802.0,289.0,702.0,1587.0,7.800000000000001,0
830,30031.0,914.0,18155.0,4068.0,12061.0,15197.0,96.99999999999997,7
831,10450.0,507.0,5099.0,452.0,2625.0,4320.0,21.500000000000004,0
832,14196.0,664.0,5074.0,2269.0,3640.0,4378.0,28.9,0
833,4566.0,371.0,1276.0,224.0,1134.0,1192.0,7.800000000000001,0
834,12527.0,599.0,5073.0,488.0,3586.0,4533.0,15.800000000000002,0
835,15968.0,618.0,3694.0,1117.0,3131.0,3425.0,13.900000000000002,0
836,24715.0,828.0,8946.0,1795.0,4323.0,7576.0,51.7,0
837,9714.0,464.0,3251.0,484.0,2447.0,2660.0,23.2,0
838,6619.0,267.0,2832.0,972.0,1739.0,2791.0,5.9,0
839,13381.0,466.0,4378.0,385.0,3338.0,3347.0,34.8,0
840,11280.0,517.0,4637.0,1748.0,2945.0,4278.0,10.6,0
841,18448.0,669.0,7328.0,1005.0,4456.0,5923.0,47.49999999999999,0
842,14912.0,498.0,6668.0,3137.0,3912.0,5137.0,41.7,0
843,7233.0,428.0,2881.0,181.0,2134.0,2156.0,20.2,0
844,6048.0,340.0,2384.0,316.0,1910.0,1916.0,13.799999999999999,0
845,14919.0,459.0,7468.0,2384.0,5368.0,6366.0,23.699999999999996,0
846,9447.0,395.0,2877.0,532.0,2105.0,2690.0,17.2,0
847,14710.0,469.0,4940.0,440.0,3700.0,3706.0,37.00000000000001,0
848,6326.0,241.0,2323.0,359.0,1590.0,2148.0,7.5,0
849,11784.0,502.0,4479.0,1640.0,2721.0,3817.0,18.7,0
850,7254.0,373.0,2837.0,314.0,2382.0,2415.0,11.5,0
851,29372.0,1033.0,9002.0,871.0,5650.0,5660.0,96.7,1
852,4743.0,226.0,1728.0,910.0,1236.0,1438.0,6.699999999999999,0
853,21372.0,831.0,6478.0,721.0,5306.0,5341.0,51.00000000000001,0
854,9411.0,359.0,4335.0,977.0,2074.0,3951.0,6.3999999999999995,0
855,9661.0,291.0,4618.0,1080.0,2816.0,3924.0,13.7,0
856,22851.0,689.0,10619.0,1333.0,8529.0,8703.0,42.50000000000001,2
857,41140.0,1276.0,23549.0,4367.0,14174.0,19357.0,119.9,1
858,4711.0,211.0,1584.0,467.0,971.0,1177.0,10.699999999999998,0
859,11926.0,436.0,4337.0,1355.0,3182.0,3731.0,26.700000000000003,0
860,10820.0,569.0,3778.0,395.0,3229.0,3234.0,14.999999999999998,0
861,23728.0,773.0,9198.0,2775.0,7027.0,7293.0,68.2,0
862,13643.0,625.0,4960.0,845.0,2151.0,4310.0,24.900000000000006,0
863,3726.0,270.0,1118.0,94.0,1056.0,1071.0,5.2,0
864,15111.0,553.0,6646.0,1162.0,3387.0,5789.0,29.7,0
865,18322.0,594.0,8429.0,1396.0,5273.0,6562.0,49.4,0
866,14125.0,536.0,6061.0,1193.0,3023.0,5023.0,30.099999999999998,0
